message,Goes live in:,На живо:,Går live om:,Gaat live over:,En direct dans :,Otseülekande alguseni:,Geht live in:,Kezdésig hátralevő idő:,Inizia tra:,Rozpoczęcie za:,Em direto dentro de:,Este live în:,Прямая трансляция начнется через:,Naživo za:,Estreno en vivo en:,,,,,,,,,,
days,Days,Дни,Dage,Dagen,Jours,Päeva,Tagen,nap,Giorni ,dni,Dias,Zile,Дней,deň/dni/dní,Días,,,,,,,,,,
hours,Hours,Часове,Timer,Uren,Heures,tundi,Stunden,óra,Ore,godzin(y),Horas,Ore,Часов,hodinu/hodiny/hodín,Horas,,,,,,,,,,
minutes,Minutes,Минути,Minutter,Minuten,Minutes,minutit,Minuten,perc,Minuti ,minut(y),Minutos,Minute,Минут,minútu/minúty/minút,Minutos,,,,,,,,,,
seconds,Seconds,Секунди,Sekunder,Seconden,Secondes,sekundit,Sekunden,másodperc,Secondi,sekund(y),Segundos,Secunde,Секунд,sekundu/sekundy/sekúnd,Segundos,,,,,,,,,,
join_conversation,Join the conversation,Присъединяване към разговор,Deltag i samtalen,Neem deel aan het gesprek,Rejoignez la conversation,Liitu vestlusega,Am Gespräch teilnehmen,Kapcsolódjon be a beszélgetésbe,Partecipa alla conversazione,Dołącz do rozmowy,Participar na conversa,Alătură-te conversației,Присоединяйтесь к обсуждению,Zapojte sa do rozhovoru,Únete a la conversación,,,,,,,,,,
hashtag,#doTERRAStrongerTogether,#doTERRAStrongerTogether,#doTERRAStrongerTogether,#doTERRAStrongerTogether,#doTERRAStrongerTogether,#doTERRAStrongerTogether,#doTERRAStrongerTogether,#doTERRAStrongerTogether,#doTERRAStrongerTogether,#doTERRAStrongerTogether,#doTERRAStrongerTogether,#doTERRAStrongerTogether,#doTERRAStrongerTogether,#doTERRAStrongerTogether,#doTERRAStrongerTogether,,,,,,,,,,
link1,Stronger Together 2021,Stronger Together 2021,Stronger Together 2021,Stronger Together 2021,Stronger Together 2021,Stronger Together 2021,Stronger Together 2021,Stronger Together 2021,Stronger Together 2021,Stronger Together 2021,Stronger Together 2021,Stronger Together 2021,Stronger Together 2021,Stronger Together 2021,Stronger Together 2021,,,,,,,,,,
link2,dōTERRA Healing Hands™,dōTERRA Healing Hands™,dōTERRA Healing Hands™,dōTERRA Healing Hands™,dōTERRA Healing Hands™,dōTERRA Healing Hands™,dōTERRA Healing Hands™,dōTERRA Healing Hands™,dōTERRA Healing Hands™,dōTERRA Healing Hands™,dōTERRA Healing Hands™,dōTERRA Healing Hands™,dōTERRA Healing Hands™,dōTERRA Healing Hands™,dōTERRA Healing Hands™,,,,,,,,,,
email_error,Please enter a valid email address,"Моля, въведете валиден имейл адрес",Indtast en gyldig e-mailadresse,Voer een geldig e-mailadres in,Veuillez saisir une adresse e-mail valide,Palun sisesta kehtiv e-posti aadress,Bitte geben Sie eine gültige E-Mail Adresse ein,"Kérjük, adjon meg egy érvényes e-mail-címet.",Inserisci un indirizzo e-mail valido,Wpisz prawidłowy adres e-mail,Introduza um endereço de e-mail válido,Te rugăm să introduci o adresă de email valabilă,Укажите действующий адрес электронной почты,Zadajte platnú e-mailovú adresu,"Por favor, introduce una dirección de correo electrónico válida",,,,,,,,,,
cred_error,The email and/or password you have entered is not valid,Невалиден имейл и/или парола,"Den e-mail og/eller adgangskode, du har indtastet, er ikke gyldig","Het e-mailadres en/of wachtwoord dat je hebt ingevoerd, is ongeldig",L’e-mail et/ou le mot de passe saisis ne sont pas valides.,Sisestatud e-posti aadress ja/või salasõna on kehtetu,Die eingegebene E-Mail und/oder das Passwort sind nicht gültig,A megadott e-mail-cím és/vagy jelszó érvénytelen,L’email e/o la password inserita non è valida,Podany adres e-mail i/lub hasło są nieprawidłowe,O e-mail e/ou a palavra-passe que introduziu não são válidos,Email-ul și/sau parola nu sunt valabile,Указанный вами адрес электронной почты и (или) пароль недействителен,Zadaný e-mail a/alebo heslo nie sú platné,La dirección de correo electrónico / o la contraseña que has introducido no es válida,,,,,,,,,,
email_placeholder,Your Rainfocus Email,Вашият Rainfocus имейл,Din Rainfocus e-mail,Je Rainfocus e-mail,Votre e-mail Rainfocus,Sinu Rainfocusi e-posti aadress,Ihre Rainfocus-E-Mail,Rainfocus-e-mail-címe,La tua email Rainfocus,Twój adres e-mail Rainfocus,O seu e-mail Rainfocus,Email-ul tău Rainfocus ,Ваш электронный адрес Rainfocus,Váš e-mail Rainfocus,Tu correo electrónico de Rainfocus,,,,,,,,,,
password_placeholder,Your Rainfocus Password,Вашата Rainfocus парола,Din Rainfocus adgangskode,Je Rainfocus wachtwoord,Votre mot de passe Rainfocus,Sinu Rainfocusi salasõna,Ihr Rainfocus-Passwort,Rainfocus-jelszava,La tua password Rainfocus,Twoje hasło Rainfocus,A sua palavra-passe Rainfocus,Parola ta Rainfocus ,Ваш пароль Rainfocus,Vaše heslo Rainfocus,Tu contraseña de Rainfocus,,,,,,,,,,
email_label,Email Address,Имейл адрес,E-mailadresse,E-mailadres,Adresse e-mail,E-posti aadress,E-Mail Adresse,E-mail-cím,Indirizzo email,Adres e-mail,Endereço de e-mail,Adresa de email,Адрес электронной почты,E-mailová adresa,Dirección de correo electrónico,,,,,,,,,,
password_label,Password,Парола,Adgangskode,Wachtwoord,Mot de passe,Salasõna,Passwort,Jelszó,Password,Hasło,Palavra-passe,Parola,Пароль,Heslo,Contraseña,,,,,,,,,,
